movie_title,genre_names,genre_ids
Killers of the Flower Moon,"Crime, Drama, History","80, 18, 36"
Freelance,"Action, Comedy","28, 35"
Wonka,"Comedy, Family, Fantasy","35, 10751, 14"
Trolls Band Together,"Animation, Family, Music, Fantasy, Comedy","16, 10751, 10402, 14, 35"
Leave the World Behind,"Drama, Mystery, Thriller, Science Fiction","18, 9648, 53, 878"
Leo,"Animation, Comedy, Family","16, 35, 10751"
Oppenheimer,"Drama, History","18, 36"
A Man of Reason,"Action, Thriller, Drama","28, 53, 18"
Good Boy,"Horror, Thriller","27, 53"
The Creator,"Action, Adventure, Drama","28, 12, 18"
Rumble Through the Dark,"Thriller, Action","53, 28"
Robot Apocalypse,"Science Fiction, Action","878, 28"
Galaxy Games,Fantasy,14
Fast Charlie,"Action, Crime, Drama","28, 80, 18"
Fast X,"Action, Crime, Thriller","28, 80, 53"
Five Nights at Freddy's,"Horror, Mystery","27, 9648"
The Advent Calendar,"Horror, Thriller","27, 53"
The Dark Kingdom,"Fantasy, Adventure, Science Fiction, Action","14, 12, 878, 28"
Christmas Bloody Christmas,Horror,27
Krampus,"Horror, Comedy, Fantasy","27, 35, 14"
Mount Adams,"Action, Adventure, Science Fiction","28, 12, 878"
Reign of Chaos,"Action, Horror, Fantasy","28, 27, 14"
Merry Little Batman,"Animation, Action, Family, Comedy","16, 28, 10751, 35"
Expend4bles,"Action, Adventure, Thriller","28, 12, 53"
Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy","28, 12, 14"
Mission: Impossible - Dead Reckoning Part One,Action,28
Guimoon: The Lightless Door,"Horror, Thriller","27, 53"
Barbie,"Comedy, Adventure, Fantasy","35, 12, 14"
Shockwave: Countdown to Disaster,"Action, Science Fiction, Adventure, Thriller","28, 878, 12, 53"
The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Romance, Drama","28, 10749, 18"
Transformers: Rise of the Beasts,"Action, Adventure, Science Fiction","28, 12, 878"
How the Grinch Stole Christmas,"Family, Comedy, Fantasy","10751, 35, 14"
The Super Mario Bros. Movie,"Animation, Family, Adventure, Fantasy, Comedy","16, 10751, 12, 14, 35"
Godzilla Minus One,"Science Fiction, Horror, Action","878, 27, 28"
Wifelike,"Science Fiction, Mystery, Thriller","878, 9648, 53"
Blue Beetle,"Action, Science Fiction, Adventure","28, 878, 12"
Gran Turismo,"Adventure, Action, Drama","12, 28, 18"
Elemental,"Animation, Comedy, Family, Fantasy, Romance","16, 35, 10751, 14, 10749"
The Bad Guys: A Very Bad Holiday,"Animation, Comedy, Family","16, 35, 10751"
Diary of a Wimpy Kid Christmas: Cabin Fever,"Animation, Comedy, Family","16, 35, 10751"
The Marvels,"Science Fiction, Adventure, Action","878, 12, 28"
Come Out Fighting,"War, Drama, Action","10752, 18, 28"
A Tale of Two Guns,Western,37
Meg 2: The Trench,"Action, Science Fiction, Horror","28, 878, 27"
The Equalizer 3,"Action, Thriller, Crime","28, 53, 80"
"2025: Blood, White & Blue","Horror, Action, Comedy","27, 28, 35"
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure, Science Fiction","16, 28, 12, 878"
Hard Days,"Thriller, Crime, Action, Drama","53, 80, 28, 18"
Princess Khutulun,"History, Action, Drama","36, 28, 18"
The Collective,"Action, Thriller","28, 53"
The Grinch,"Animation, Family, Comedy, Fantasy","16, 10751, 35, 14"
Surviving My Quinceañera,Comedy,35
Wish,"Animation, Family, Fantasy, Adventure","16, 10751, 14, 12"
TAYLOR SWIFT | THE ERAS TOUR,Music,10402
Inferno,"Action, Drama, Romance","28, 18, 10749"
Agent Jade Black,Action,28
Extraction Point,"Science Fiction, Action, Thriller","878, 28, 53"
Spider-Man: No Way Home,"Action, Adventure, Science Fiction","28, 12, 878"
Digimon Adventure 02: The Beginning,"Adventure, Animation, Fantasy","12, 16, 14"
Hunting Souls,Horror,27
Saw X,"Horror, Thriller, Mystery","27, 53, 9648"
Mousa,"Action, Adventure, Science Fiction","28, 12, 878"
Avatar: The Way of Water,"Science Fiction, Adventure, Action","878, 12, 28"
"Muchachos, la película de la gente",Documentary,99
John Wick: Chapter 4,"Action, Thriller, Crime","28, 53, 80"
PAW Patrol: The Mighty Movie,"Animation, Family, Action, Science Fiction, Comedy","16, 10751, 28, 878, 35"
The Nun II,"Horror, Mystery, Thriller","27, 9648, 53"
Napoleon,"Drama, History, War","18, 36, 10752"
Migration,"Animation, Comedy, Adventure, Family","16, 35, 12, 10751"
The Naughty Nine,"Family, Adventure, Comedy, TV Movie","10751, 12, 35, 10770"
My Fault,"Drama, Romance","18, 10749"
Kung Fu Panda,"Action, Adventure, Animation, Family, Comedy","28, 12, 16, 10751, 35"
Cobweb,Horror,27
Chicken Run: Dawn of the Nugget,"Animation, Adventure, Comedy, Family","16, 12, 35, 10751"
Candy Cane Lane,"Comedy, Fantasy, Family","35, 14, 10751"
Casper's Haunted Christmas,"Animation, Family, Fantasy","16, 10751, 14"
Guardians of the Galaxy Vol. 3,"Science Fiction, Adventure, Action","878, 12, 28"
Indiana Jones and the Dial of Destiny,"Adventure, Action","12, 28"
Retribution,"Action, Thriller, Crime","28, 53, 80"
Puss in Boots: The Last Wish,"Adventure, Fantasy, Animation, Comedy, Family, Action","12, 14, 16, 35, 10751, 28"
Charlie and the Chocolate Factory,"Adventure, Comedy, Family, Fantasy","12, 35, 10751, 14"
The Exorcist: Believer,Horror,27
No Name and Dynamite,Western,37
Sound of Freedom,"Action, Drama","28, 18"
The Immortal Wars: Rebirth,Science Fiction,878
Uri: The Surgical Strike,"Action, Drama, War","28, 18, 10752"
Talk to Me,"Horror, Thriller","27, 53"
The Flash,"Action, Adventure, Science Fiction","28, 12, 878"
Willy Wonka & the Chocolate Factory,"Family, Fantasy, Comedy","10751, 14, 35"
Mavka: The Forest Song,"Animation, Adventure, Family, Fantasy","16, 12, 10751, 14"
Home Alone 2: Lost in New York,"Comedy, Family, Adventure","35, 10751, 12"
Escaping Paradise,"Thriller, Action","53, 28"
Jawan,"Action, Adventure, Thriller","28, 12, 53"
Paprika,"Animation, Mystery, Science Fiction, Thriller","16, 9648, 878, 53"
Dragon Ball: Mystical Adventure,"Action, Animation","28, 16"
The Mercenary,Action,28
Your Christmas or Mine 2,"Romance, Comedy","10749, 35"
Girl Next,"Horror, Thriller","27, 53"
Mega Lightning,"Action, Horror, Science Fiction","28, 27, 878"
It's a Wonderful Knife,"Horror, Thriller, Comedy","27, 53, 35"
Kung Fu Panda 2,"Animation, Family, Comedy","16, 10751, 35"
Harry Potter and the Philosopher's Stone,"Adventure, Fantasy","12, 14"
Nowhere,"Thriller, Drama","53, 18"
The Little Mermaid,"Adventure, Family, Fantasy, Romance","12, 10751, 14, 10749"
Lamborghini: The Man Behind the Legend,"Drama, History","18, 36"
Hell House LLC Origins: The Carmichael Manor,"Horror, Mystery","27, 9648"
Godzilla vs. Kong,"Action, Science Fiction, Thriller","28, 878, 53"
After Everything,"Romance, Drama","10749, 18"
V/H/S/85,"Horror, Thriller, Fantasy, Science Fiction, Crime, Mystery","27, 53, 14, 878, 80, 9648"
Logan,"Action, Drama, Science Fiction","28, 18, 878"
The Equalizer,"Thriller, Action, Crime","53, 28, 80"
Godzilla: King of the Monsters,"Science Fiction, Action","878, 28"
Babylon A.D.,"Action, Adventure, Science Fiction, Thriller","28, 12, 878, 53"
The Monkey King: Reborn,"Animation, Action, Fantasy, Family","16, 28, 14, 10751"
Elijo creer,Documentary,99
Godzilla x Kong: The New Empire,"Action, Science Fiction, Adventure","28, 878, 12"
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Animation, Comedy, Action, Science Fiction","16, 35, 28, 878"
Mr. Monk's Last Case: A Monk Movie,"Mystery, Comedy, Crime","9648, 35, 80"
Alien: Covenant,"Science Fiction, Horror, Mystery","878, 27, 9648"
Blood Widow,Horror,27
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action","12, 14, 28"
Family Switch,"Comedy, Fantasy, Family","35, 14, 10751"
Rebel Moon - Part One: A Child of Fire,"Action, Science Fiction, Adventure, Fantasy","28, 878, 12, 14"
Avengers: Infinity War,"Adventure, Action, Science Fiction","12, 28, 878"
Goodbye Monster,"Animation, Fantasy, Adventure","16, 14, 12"
Kung Fu Panda 4,"Action, Adventure, Animation, Comedy, Family","28, 12, 16, 35, 10751"
Muzzle,"Action, Crime, Drama, Thriller","28, 80, 18, 53"
Kung Fu Panda 3,"Action, Adventure, Animation, Comedy, Family","28, 12, 16, 35, 10751"
Iké Boys,"Fantasy, Adventure","14, 12"
Thor: Ragnarok,"Action, Adventure, Science Fiction","28, 12, 878"
Justice League,"Action, Adventure, Science Fiction","28, 12, 878"
Inside Out,"Animation, Family, Adventure, Drama, Comedy","16, 10751, 12, 18, 35"
Higop,Romance,10749
Thriller Night,Animation,16
The Last Voyage of the Demeter,"Thriller, Horror","53, 27"
The Godfather,"Drama, Crime","18, 80"
Radical,Drama,18
Encanto,"Animation, Comedy, Family, Fantasy","16, 35, 10751, 14"
Aragne: Sign of Vermillion,"Animation, Horror, Mystery, Fantasy","16, 27, 9648, 14"
Harry Potter and the Deathly Hallows: Part 2,"Fantasy, Adventure","14, 12"
Meteor Storm,"Science Fiction, Adventure, TV Movie","878, 12, 10770"
Chicken Run,"Animation, Comedy, Family","16, 35, 10751"
The Survivor,"History, Action, Drama","36, 28, 18"
Big Tit Monastery,,
Black Adam,"Action, Adventure, Science Fiction","28, 12, 878"
Star Wars: The Last Jedi,"Adventure, Action, Science Fiction","12, 28, 878"
The Velveteen Rabbit,"Animation, Family, Fantasy","16, 10751, 14"
Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy","28, 12, 14"
Big Hero 6,"Adventure, Family, Animation, Action, Comedy","12, 10751, 16, 28, 35"
Harry Potter and the Chamber of Secrets,"Adventure, Fantasy","12, 14"
Sonic the Hedgehog 2,"Action, Adventure, Family, Comedy","28, 12, 10751, 35"
Denard: Anatomy of an Antihero,Action,28
The Batman,"Crime, Mystery, Thriller","80, 9648, 53"
Black Panther: Wakanda Forever,"Action, Adventure, Science Fiction","28, 12, 878"
Inside Out 2,"Animation, Family, Drama, Comedy","16, 10751, 18, 35"
The Family Plan,"Action, Comedy","28, 35"
Carl's Date,"Animation, Adventure, Family","16, 12, 10751"
The Hunger Games: Mockingjay - Part 1,"Science Fiction, Adventure, Thriller","878, 12, 53"
Top Gun: Maverick,"Action, Drama","28, 18"
