Movie ID,Movie Title,Keywords
466420,Killers of the Flower Moon,"husband wife relationship, based on novel or book, war veteran, fbi, greed, oklahoma, manipulation, native american, based on true story, murder, racism, series of murders, genocide, period drama, courtroom, guilt, true crime, oil industry, death of sister, catholicism, uncle nephew relationship, catholic guilt, hopeless, 1920s, osage indian, gullibility, poisoning, diabetes, anxious, revisionist western, meta, male protagonist, western, gloomy"
897087,Freelance,"coup d'etat, dictatorship, political assassination, duringcreditsstinger, investigative journalism, ex special forces, fictional city"
787699,Wonka,"chocolate, musical, prequel"
901362,Trolls Band Together,"pop star, brother, musical, sequel, based on toy, troll, reunite, sister sister relationship, brother brother relationship, jukebox musical"
1075794,Leo,"classroom, musical, bucket list"
726209,Leave the World Behind,"based on novel or book, crisis, vacation"
572802,Aquaman and the Lost Kingdom,"secret society, half-brother, sequel, revenge, dysfunctional relationship, dc extended universe (dceu), ancient evil, underwater world, vengeance, brother brother relationship"
872585,Oppenheimer,"husband wife relationship, based on novel or book, politics, atomic bomb, professor, patriotism, new mexico, world war ii, hallucination, atomic bomb test, surrealism, physics, biography, berkeley, based on true story, physicist, jewish american, interrogation, guilt, nonlinear timeline, historical event, nuclear weapons, communism, red scare, prometheus, mccarthyism, top secret project, moral dilemma, usa politics, 1940s, ethics, quantum physics, antisemitism, apocalyptic vision, clinical, new mexico desert, male protagonist, 20th century, manhattan project, affair, los alamos, hiroshima and nagasaki bombings, cliche, defiant, demeaning"
670292,The Creator,"artificial intelligence (a.i.), asia, distant future, space station, child, ex special forces, missing wife, robots, war against machines"
983507,Good Boy,"dog, costume horror"
844416,Rumble Through the Dark,"based on novel or book, redneck, debt, cage fighting, middle america, father daughter relationship"
695721,The Hunger Games: The Ballad of Songbirds & Snakes,"daughter, based on novel or book, arena, fight, mentor, dystopia, riot, exploration, president, prequel, survival, murder, snow, creature, battle, spin off, death, fight to the death, young adult, academy, origin story, based on young adult novel, death game, teenager"
385687,Fast X,"sequel, revenge, betrayal, racing, family, cliffhanger, cars"
762079,The Advent Calendar,"supernatural, wheelchair user   , car accident, christmas, advent calendar"
844069,Guimoon: The Lightless Door,
995906,Galaxy Games,
520758,Chicken Run: Dawn of the Nugget,"chicken, sequel, stop motion, animal, reboot, claymation, plasticine"
507089,Five Nights at Freddy's,"night shift, child murder, restaurant, custody battle, child in peril, orphan, security guard, based on video game, duringcreditsstinger, troubled past, child neglect, animatronic, abandoned building, brother sister relationship, ghost child, child abduction"
566810,The Dark Kingdom,"princess, fire, army, magic, kingdom, prince, warrior woman, sequel, knight, dragon, king, quest, fury, insidious"
299054,Expend4bles,"sequel, nuclear bomb, cargo ship, ring"
346698,Barbie,"feminism, satire, patriarchy, based on toy, female protagonist, doll, ghost, fantasy world, motherhood, existentialism, woman director, mother daughter relationship, gender discrimination, barbie, secret world"
844416,Rumble Through the Dark,"based on novel or book, redneck, debt, cage fighting, middle america, father daughter relationship"
479753,Shockwave: Countdown to Disaster,
945937,Fast Charlie,"based on novel or book, hitman"
857879,Mount Adams,
566810,The Dark Kingdom,"princess, fire, army, magic, kingdom, prince, warrior woman, sequel, knight, dragon, king, quest, fury, insidious"
844069,Guimoon: The Lightless Door,
502356,The Super Mario Bros. Movie,"gorilla, plumber, anthropomorphism, magic mushroom, based on video game, toad, aftercreditsstinger, duringcreditsstinger, damsel in distress, piano, brother brother relationship, evil king"
940721,Godzilla Minus One,"monster, giant monster, reboot, kaiju, post war japan, 1940s, godzilla"
609681,The Marvels,"hero, superhero, space travel, based on comic, sequel, teenage girl, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), space adventure"
870358,Merry Little Batman,"holiday, based on comic, family, christmas"
1206029,"Muchachos, la pela­cula de la gente",
995906,Galaxy Games,
980489,Gran Turismo,"based on true story, racing, based on video game, duringcreditsstinger"
940175,A Tale of Two Guns,
615656,Meg 2: The Trench,"based on novel or book, sequel, kaiju, civil action, oceans, shark cage"
976573,Elemental,"fire, computer animation, duringcreditsstinger, elements, water, city"
1060090,The Collective,
951546,Reign of Chaos,"chaos, dystopia, warrior woman"
926393,The Equalizer 3,"italy, vigilante justice, italian mafia"
667538,Transformers: Rise of the Beasts,"peru, alien, end of the world, based on toy, robot, duringcreditsstinger, 1990s, brother brother relationship"
575264,Mission: Impossible - Dead Reckoning Part One,"race against time, mission, rome, italy, chase, secret mission, secret agent, sequel, intelligence agency, rogue agent, based on tv series, secret government agency, northern norway"
8871,How the Grinch Stole Christmas,"new love, based on novel or book, holiday, christmas party, village, santa claus, surrealism, thief, public humiliation, christmas, surreal world"
940551,Migration,"duck, migration, flight, anthropomorphism, animal, overprotective father, bird"
569094,Spider-Man: Across the Spider-Verse,"new york city, sacrifice, superhero, comic book, based on comic, sequel, romance, alternate dimension, india, alternate version, super power, brooklyn, new york city, superhero team, spider bite, super villain, cliffhanger, teen superhero, chelsea, alternate universe, teen romance, female superhero, slow burn romance, interdimensional travel, defying fate"
1029575,The Family Plan,"assassin, las vegas, hidden identity, family trip, roadtrip, former soldier"
762430,Retribution,"assassination, bomb, remake, divorce, duringcreditsstinger, phone call, berlin"
1047925,Come Out Fighting,"world war ii, us army, american soldiers, black soldier"
76600,Avatar: The Way of Water,"dying and death, loss of loved one, alien life-form, resurrection, dysfunctional family, sequel, alien planet, distant future, adopted child, rebirth, family dynamics, adopted son, stronger villain, war"
603692,John Wick: Chapter 4,"new york city, martial arts, hitman, sequel, organized crime, osaka, japan, aftercreditsstinger, hunted, professional assassin, neo-noir, berlin"
360920,The Grinch,"holiday, surrealism, remake, based on children's book, christmas"
1160164,TAYLOR SWIFT | THE ERAS TOUR,"musician, pop music, concert film, singer-songwriter, aftercreditsstinger, duringcreditsstinger, music documentary"
565770,Blue Beetle,"armor, superhero, family relationships, family, high tech, job hunting, mexican american, aftercreditsstinger, duringcreditsstinger, immigrant family, college graduate, dc extended universe (dceu), alien technology, brother sister relationship, latino"
1172029,Sobreviviendo mis XV,
775244,Mousa,
893723,PAW Patrol: The Mighty Movie,"superhero, cartoon, mad scientist, sequel, dog, animal, elasticity, kids"
951491,Saw X,"mexico city, mexico, sadism, riddle, gore, sequel, con artist, cancer, scam, serial killer, torture, drugs, survival horror, duringcreditsstinger, franchise, jigsaw, mexico, saw, death game, requel"
634649,Spider-Man: No Way Home,"new york city, hero, showdown, magic, loss of loved one, secret identity, superhero, dangerous, villain, portal, sequel, vigilante, superhero team, alternate reality, masked vigilante, spider web, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), teenage hero, fight for justice, superhero teamup, returning hero, crossover, teamwork"
1001835,Wifelike,"artificial intelligence (a.i.), robot girl, near future, robot wife"
920258,The Immortal Wars: Rebirth,
447365,Guardians of the Galaxy Vol. 3,"hero, superhero, mad scientist, based on comic, sequel, superhero team, space opera, raccoon, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), cosmic, outer space, chosen family"
1192578,Soccer Soul,
1022796,Wish,"friendship, musical, computer animation, female protagonist, betrayal by friend, aftercreditsstinger, woman director, disabled person, star, corrupt government"
335977,Indiana Jones and the Dial of Destiny,"treasure hunt, ancient rome, sequel, flashback, knife fight, archaeologist, adventurer, 1960s, nazi germany, action adventure, suspenseful"
753342,Napoleon,"empire, france, biography, napoleon bonaparte, based on true story, napoleonic wars, 19th century, biopic"
872976,Digimon Adventure 02: The Beginning,"based on toy, animal sidekick, digimon"
1028318,Goodbye Monster,
1046032,The Bad Guys: A Very Bad Holiday,"holiday, heist, prequel, family, based on graphic novel, christmas"
9502,Kung Fu Panda,"martial arts, kung fu, strong woman, china, tiger, bravery, restaurant, shop, panda, sensei, anthropomorphism, fighting, master, destiny, crane, aftercreditsstinger, wuxia, monkey warrior, viper, red panda"
920081,Megaboa,
315162,Puss in Boots: The Last Wish,"fairy tale, talking dog, spin off, aftercreditsstinger, talking cat, fear of death"
10908,Inferno,"prison, small town, sword, hostage, hostility, drifter"
298618,The Flash,"hero, secret identity, superhero, based on comic, superhuman, super power, aftercreditsstinger, butterfly effect, dc extended universe (dceu), superhuman abilities, loss of mother"
854648,Robot Apocalypse,
958182,Heroic,"mexico city, mexico, new mexican cinema, social thriller, mexico, cine mexicano, militar training, militar, drama"
1010581,My Fault,"stepbrother, female protagonist, stepsister, rise, enemies to lovers, passion and romance, car"
960481,Princess Khutulun,
606870,The Survivor,"concentration camp, boxer, trauma, concentration camp survivor, boxing"
820525,After Everything,"lisbon, portugal, writer's block, sequel, love, wedding, social media, troubled past, male writer, dysfunctional relationship, based on young adult novel, fanfic"
972731,"2025: Blood, White & Blue","undercover agent, secret agent, drug cartel, drug lord, purge"
807172,The Exorcist: Believer,"faith, exorcism, possession, sequel, disappearance, death of mother, exorcist, reboot, demonic possession, father daughter relationship"
893369,Jack Mimoun & the Secrets of Val Verde,
459003,Mavka: The Forest Song,"based on novel or book, fairy, nature, folklore, based on myths, legends or folklore, mavka, ukrainian folklore, independent film, love vs duty"
968051,The Nun II,"france, bullying, sequel, religion, demon, gothic horror, demonic possession, praying, duringcreditsstinger, all girls school, 1950s, demonic, convent, the conjuring universe"
49444,Kung Fu Panda 2,"mission, martial arts, kung fu, hope, fleet, panda, friends, woman director"
116776,Dragon Ball: Mystical Adventure,"martial arts, assassin, emperor, tournament, anime, ressurection"
118,Charlie and the Chocolate Factory,"factory worker, london, england, based on novel or book, chocolate, candy, overweight child, parent child relationship, grandparent grandchild relationship, teacher, candy bar"
936059,The Naughty Nine,christmas
1123093,Diary of a Wimpy Kid Christmas: Cabin Fever,"based on novel or book, video game, sequel, coming of age, blizzard, christmas"
140300,Kung Fu Panda 3,"martial arts, kung fu, china, fighter, village, sequel, panda, anthropomorphism, dragon, wuxia, woman director"
872906,Jawan,"revenge, vigilantism, political"
1035982,Hell House LLC Origins: The Carmichael Manor,"hotel, cult, woods, mockumentary, found footage, haunted manor, murder mystery, clown mask, remote location, video camera, upstate new york"
1011985,Kung Fu Panda 4,"martial arts, kung fu, china, panda, anthropomorphism"
772,Home Alone 2: Lost in New York,"new york city, burglar, holiday, family relationships, sequel, slapstick comedy, little boy, home invasion, family, precocious child, home alone, mischievous child, christmas, kids on their own, child rescue"
845844,Extraction Point,
1022964,Candy Cane Lane,christmas
662167,Agent Jade Black,
950925,Hunting Souls,"parent, demon, child"
141052,Justice League,"superhero, based on comic, super power, superhero team, aftercreditsstinger, duringcreditsstinger, dc extended universe (dceu)"
709631,Cobweb,"nightmare, halloween, dysfunctional family, pumpkin, basement, devil, demon, schoolteacher, child protagonist"
995206,Hard Days,
1118595,The Jester,"detective, horror"
118249,Thriller Night,
252,Willy Wonka & the Chocolate Factory,"factory worker, factory, based on novel or book, chocolate, candy, overweight child, grandparent grandchild relationship, tv addicted person, musical, single, teacher, based on children's book, poor kid, eccentric man, grandfather grandson relationship, candy bar"
939335,Muzzle,"police, los angeles, california, lapd, k9"
