adult,genre_ids,id,original_language,popularity,release_date,title,video,vote_average,vote_count
FALSE,"[80, 18, 36]",466420,en,1323.647,18-10-2023,Killers of the Flower Moon,FALSE,7.617,1445
FALSE,"[878, 28]",854648,en,692.968,26-07-2021,Robot Apocalypse,FALSE,6.048,62
FALSE,"[28, 35]",897087,en,1243.624,05-01-2023,Freelance,FALSE,6.525,316
FALSE,"[35, 10751, 14]",787699,en,1119.142,06-12-2023,Wonka,FALSE,7.31,276
FALSE,"[16, 10751, 10402, 14, 35]",901362,en,968.8,12-10-2023,Trolls Band Together,FALSE,7.2,369
FALSE,"[18, 9648, 53, 878]",726209,en,879.694,22-11-2023,Leave the World Behind,FALSE,6.59,809
FALSE,"[16, 35, 10751]",1075794,en,899.34,17-11-2023,Leo,FALSE,7.621,584
FALSE,"[27, 53]",983507,no,780.142,03-06-2022,Good Boy,FALSE,6.7,106
FALSE,"[28, 53, 18]",656156,ko,823.253,15-08-2023,A Man of Reason,FALSE,6.446,28
FALSE,"[18, 36]",872585,en,836.976,19-07-2023,Oppenheimer,FALSE,8.1,5441
FALSE,"[27, 9648]",507089,en,668.805,25-10-2023,Five Nights at Freddy's,FALSE,7.824,2860
FALSE,"[28, 12, 18]",670292,en,724.409,27-09-2023,The Creator,FALSE,7.126,1465
FALSE,"[27, 53]",762079,fr,723.15,01-12-2021,The Advent Calendar,FALSE,6.6,237
FALSE,"[53, 28]",844416,en,701.8,03-11-2023,Rumble Through the Dark,FALSE,6.674,23
FALSE,"[28, 80, 53]",385687,en,681.59,17-05-2023,Fast X,FALSE,7.198,4473
FALSE,"[28, 80, 18]",945937,en,682.109,08-12-2023,Fast Charlie,FALSE,6.133,30
FALSE,"[16, 28, 10751, 35]",870358,en,515.812,08-12-2023,Merry Little Batman,FALSE,6.548,62
FALSE,[14],995906,en,683.757,04-07-2022,Galaxy Games,FALSE,5.667,4
FALSE,"[14, 12, 878, 28]",566810,en,620.372,26-11-2018,The Dark Kingdom,FALSE,5.7,41
FALSE,"[27, 35, 14]",287903,en,541.897,26-11-2015,Krampus,FALSE,6.181,1979
FALSE,[27],1019836,en,602.845,05-10-2022,Christmas Bloody Christmas,FALSE,5.609,152
FALSE,"[28, 12, 53]",299054,en,567.672,15-09-2023,Expendables,FALSE,6.436,898
FALSE,"[16, 35, 10751]",1123093,en,370.824,08-12-2023,Diary of a Wimpy Kid Christmas: Cabin Fever,FALSE,6.75,23
FALSE,"[35, 12, 14]",346698,en,460.329,19-07-2023,Barbie,FALSE,7.174,6317
FALSE,"[28, 12, 878]",857879,en,524.941,21-07-2021,Mount Adams,FALSE,6.5,8
FALSE,"[28, 878, 12, 53]",479753,en,513.821,02-09-2017,Shockwave: Countdown to Disaster,FALSE,5.652,56
FALSE,"[28, 27, 14]",951546,en,519.847,12-04-2022,Reign of Chaos,FALSE,5.8,29
FALSE,"[28, 10749, 18]",695721,en,451.588,15-11-2023,The Hunger Games: The Ballad of Songbirds & Snakes,FALSE,7.242,756
FALSE,"[16, 10751, 12, 14, 35]",502356,en,452.888,05-04-2023,The Super Mario Bros. Movie,FALSE,7.732,7446
FALSE,[28],575264,en,467.167,08-07-2023,Mission: Impossible - Dead Reckoning Part One,FALSE,7.592,2692
FALSE,"[878, 27, 28]",940721,ja,460.073,03-11-2023,Godzilla Minus One,FALSE,8.1,138
FALSE,"[878, 9648, 53]",1001835,en,391.164,12-08-2022,Wifelike,FALSE,7.029,205
FALSE,"[28, 12, 14]",572802,en,478.048,20-12-2023,Aquaman and the Lost Kingdom,FALSE,8.9,10
FALSE,"[16, 28, 12, 878]",569094,en,341.684,31-05-2023,Spider-Man: Across the Spider-Verse,FALSE,8.402,5184
FALSE,"[16, 35, 10751]",1046032,en,358.848,30-11-2023,The Bad Guys: A Very Bad Holiday,FALSE,6.839,59
